sport,miles,hr,freq
elliptical,1.7621800336524713,131.9634,10
walk,3.6691051111816613,102.55944918541505,1289
hiking,5.940618482132475,110.85838818565401,237
sailing,13.385234542037505,163.934,1
skate,13.791915971891637,120.70117343173432,271
rugby,3.65995983212747,145.35,3
downhill skiing,13.66139305719664,85.42454166666667,48
kite surfing,24.205675515593583,152.434,1
squash,3.0844017798648204,144.982,1
bike,25.656060221563624,133.43177470625042,71915
windsurfing,33.07514532717645,132.492,1
roller skiing,11.059711538707136,129.87064705882352,238
weight training,0.8037322806252193,111.13921621621621,74
treadmill running,0.6023247673398437,145.5477857142857,28
treadmill walking,0.008987850782063742,186.644,1
kayaking,5.557863275303603,122.45952173913044,92
golf,2.584961260604127,91.381,12
run,7.497756729413413,147.1029132892295,70591
badminton,0.863361661580987,140.2376,10
orienteering,5.588729094215991,147.30912802768165,867
bike (transport),12.971695492294739,126.70273791414206,7757
circuit training,1.336253113632482,120.58543820224719,89
core stability training,8.085891059423428,129.31564732142857,448
swimming,1.5981147833620393,122.35914285714286,14
mountain bike,19.71376057639174,135.45045140831934,10722
basketball,2.5333254731133965,126.663,8
yoga,0.9108690839914496,87.128,1
rowing,5.9105925230189875,133.88574647887324,71
stair climing,2.9180388719502344,124.47,3
soccer,2.0144098230264262,144.99031372549018,51
table tennis,2.876429829272275,87.805,4
indoor cycling,2.6006273302842517,133.21582492753623,1725
tennis,1.1933830975020214,129.17775,8
snowshoeing,3.461509836183298,125.5645,16
martial arts,0.7958940789536376,109.044,1
cross-country skiing,11.19874505399148,137.60238783269963,789
aerobics,0.7965635431019434,145.9322857142857,7
fitness walking,5.207971288544673,116.52337671232877,292
pilates,0.5980311148928802,96.28733333333334,3
climbing,2.1280554510778216,134.794,5
gymnastics,0.11588315158047145,105.29354545454545,66
horseback riding,6.838288062227764,140.994,10
snowboarding,10.13678947121957,101.116,3
